text,label
"""Congratulations! You won $1000!""",1
"""Meeting scheduled for 2 PM today.""",0
"""Claim your free prize now!""",1
"""Project updates are attached.""",0
The cat jumped over the fence,0
 A rainbow appeared after the storm,1
 She enjoys painting landscapes in her free time,1
 He drank his coffee slowly,0
 The book was more exciting than expected,1
 A loud noise startled the group,0
 The stars were bright in the night sky,0
 They decided to go hiking tomorrow,0
 The train arrived ten minutes early,0
 He forgot his umbrella at home,1
 The cake was decorated beautifully,1
 She wrote a letter to her best friend,0
 The dog barked at the stranger,0
 The movie was both thrilling and emotional,0
 They planted flowers in the garden,0
 He found a coin on the sidewalk,1
 The music festival was packed with people,1
 The classroom was quiet during the test,1
 A bird nested in the tree outside,1
 She baked cookies for the neighbors,1
 The car wouldn't start in the morning,1
 The phone rang continuously,0
 They danced under the moonlight,0
 A new cafe opened downtown,0
 He sketched a portrait of his sister,0
 The waves crashed against the rocks,0
 She collected seashells on the beach,1
 The library smelled of old books,0
 They built a sandcastle by the shore,0
 The children laughed while playing tag,1
 He enjoyed reading mystery novels,0
 A butterfly landed on her hand,0
 The clock struck midnight,0
 The sun set behind the mountains,1
 They explored a hidden cave,1
 She admired the painting in the gallery,1
 The wind howled through the trees,1
 He solved the puzzle in record time,0
 A squirrel darted across the path,0
 The concert lasted late into the night,0
 They camped under the stars,0
 The chef prepared a delicious meal,0
 She discovered a hidden talent for singing,1
 The old bridge swayed in the wind,1
 They toasted marshmallows by the fire,0
 A deer grazed in the meadow,1
 The city lights sparkled at night,0
 He played his guitar on the street corner,0
 The balloon floated up into the sky,0
 They watched the sunrise together.,1
